,1x1,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Total precision,0.8337056985733896,0.8467715600829994,0.8507744209646845,0.8523158044224424,0.8540783100236004,0.8545602005704956,0.855090940816649,0.8558415964215218,0.8560077880581597,0.8560033085153794
Total recall,0.5671904524668023,0.5718435151373236,0.5654012325096887,0.5598302813225025,0.5554522202113573,0.5516358477562447,0.5488328471467523,0.545504888626691,0.5428771466691295,0.5411952644989114
Total F1,0.6750799227319643,0.6826476361304706,0.6793291928615407,0.6757746960701493,0.6731264029694953,0.6704636277139661,0.668551190641573,0.6663050825696768,0.6643910394158627,0.66312845330954
