verdict,one_v1,zero_v1,total_result_v1,n_items_v1,precision_v1,recall_v1,num_classified,num_sample,num_non_sample,num_correct,num_incorrect,num_added_to_training
1,635,0,635,944,1,0.6724863965907303,1331,1056,275,635,421,635
2,363,0,363,873,1,0.41560251672003656,763,711,52,363,348,363
3,1235,0,1235,1775,1,0.6957588732381309,2982,1835,1147,1235,600,1235
4,67,0,67,178,1,0.3768780434775658,86,86,0,67,19,67
5,65,0,65,284,1,0.23075632266570778,179,179,0,65,114,65
6,636,0,636,884,1,0.7193911719939117,1122,901,221,636,265,636
7,143,0,143,321,1,0.448481223372116,259,259,0,143,116,143
8,155,0,155,293,1,0.5385549269212635,238,238,0,155,83,155
9,104,0,104,308,1,0.33949815974397746,201,201,0,104,97,104
10,382,0,382,642,1,0.5944119876654028,847,777,70,382,395,382
12,990,0,990,2003,1,0.49499355728151656,2426,1627,799,990,637,990
13,97,0,97,268,1,0.3587679375754538,164,164,0,97,67,97
14,88,0,88,397,1,0.22188058446336592,161,161,0,88,73,88
15,553,0,553,1217,1,0.4541710822083666,1396,1170,226,553,617,553
16,2642,0,2642,4262,1,0.6199802537015587,11276,3710,7566,2642,1068,2642
17,315,0,315,663,1,0.47553344344626625,580,578,2,315,263,315
18,78,0,78,247,1,0.3156722126601645,129,129,0,78,51,78
19,4118,387,4505,5848,0.9140858025355856,0.7041842048460387,11758,3231,8527,2408,823,4505
20,2887,191,3078,3778,0.9380763113491707,0.764003997761639,7563,2764,4799,2069,695,3078
21,44,0,44,227,1,0.19311531841652324,111,111,0,44,67,44
100,1633,0,1633,3135,1,0.5208545579166822,5500,2678,2822,1633,1045,1633
NA,17230,578,17808,28547,0.9675426774483378,0.6035660489718709,NA,NA,NA,NA,NA,NA
