verdict,precision_svm,recall_svm
1,0.781045018554774,0.7450477038927258
2,0.6448735901944657,0.49720923158197855
3,0.7774638214643564,0.7544240497774385
4,0.8082727863429618,0.4913831416521986
5,0.48241378328002016,0.4457313516321067
6,0.8109267368993031,0.8034094368340944
7,0.6938355693154454,0.5115221346270467
8,0.8013412152147215,0.6748585572842999
9,0.7238273586588194,0.6061326860234337
10,0.7075497752087347,0.6411431798384685
12,0.6641394288969593,0.6933539455063586
13,0.7722087640883916,0.6308520665175897
14,0.5214424951267057,0.391694332910373
15,0.6292265275833218,0.6108774335123603
16,0.760478463857604,0.7808238555752475
17,0.6529224026066388,0.5411793274158823
18,0.7055944055944057,0.5633032128514056
19,0.7772884998973715,0.7773681266204666
20,0.7875055430386002,0.8506733506512442
21,0.505760158469518,0.3429432013769363
100,0.6287757945963764,0.7362139484744675
