verdict,one_v4,zero_v4,total_result_v4,n_items_v4,precision_v4,recall_v4,num_classified,num_sample,num_non_sample,num_correct,num_incorrect,num_added_to_training
1,642,18,660,944,0.9737849253405778,0.680407546488943,812,567,245,473,94,633
2,388,1,389,873,0.9975124378109452,0.4442043882382743,474,420,54,331,89,339
3,1288,77,1365,1775,0.9437261224975357,0.7256183029048567,1403,712,691,599,113,1290
4,73,0,73,178,1,0.41035269968250315,75,75,0,64,11,64
5,69,0,69,284,1,0.24223460785488832,87,87,0,57,30,57
6,657,24,681,884,0.964784879760477,0.7431811263318113,695,478,217,431,47,648
7,148,0,148,321,1,0.46814319215376987,162,162,0,130,32,130
8,159,0,159,293,1,0.5528406412069778,171,171,0,148,23,148
9,117,0,117,308,1,0.38329819150918504,132,132,0,105,27,105
10,409,0,409,642,1,0.6364903720632742,550,476,74,373,103,373
12,1051,36,1087,2003,0.9674464039136782,0.5254342167029403,1524,896,628,742,154,1018
13,101,0,101,268,1,0.37278989731717893,119,119,0,98,21,98
14,91,0,91,397,1,0.23038736465888784,103,103,0,74,29,74
15,596,0,596,1217,1,0.4897055997878862,897,687,210,527,160,527
16,3114,284,3398,4262,0.9165427369310826,0.7306492322434494,6168,1841,4327,1483,358,3203
17,322,0,322,663,1,0.48835545787633233,378,367,11,294,73,296
18,93,0,93,247,1,0.3764271371199082,87,87,0,75,12,75
19,4346,348,4694,5848,0.9262242773381679,0.7431784295181497,7021,1786,5235,1477,309,4369
20,2974,236,3210,3778,0.9265282965476754,0.7870298482350317,3304,1091,2213,897,194,3110
21,52,0,52,227,1,0.22967106521323388,61,61,0,39,22,39
100,1774,103,1877,3135,0.94559545304516,0.5658669306997707,3491,1578,1913,1247,331,1729
NA,18464,1127,19591,28547,0.9424735848093513,0.6467930080218587,NA,NA,NA,NA,NA,NA
