verdict,one_v3,zero_v3,total_result_v3,n_items_v3,precision_v3,recall_v3,num_classified,num_sample,num_non_sample,num_correct,num_incorrect,num_added_to_training
1,630,7,637,944,0.9887278582930756,0.6677116039645219,927,686,241,570,116,637
2,352,0,352,873,1,0.4030510683719047,528,456,72,352,104,352
3,1242,90,1332,1775,0.9326715321784346,0.6997072214555163,1455,746,709,623,123,1332
4,63,0,63,178,1,0.35509929370537696,68,68,0,63,5,63
5,63,0,63,284,1,0.22330776299492588,99,99,0,63,36,63
6,634,24,658,884,0.9637704038289415,0.7172602739726027,710,491,219,439,52,658
7,135,0,135,321,1,0.42360772825833615,174,174,0,135,39,135
8,147,0,147,293,1,0.5119342291371994,173,173,0,147,26,147
9,100,0,100,308,1,0.32787572050118996,126,126,0,100,26,100
10,383,0,383,642,1,0.595957897073035,580,493,87,383,110,383
12,1009,53,1062,2003,0.9515357710970941,0.5044893737442707,1476,894,582,736,158,1062
13,100,0,100,268,1,0.36967646180796115,120,120,0,100,20,100
14,72,0,72,397,1,0.18309769087914785,104,104,0,72,32,72
15,553,0,553,1217,1,0.45416618770450284,938,725,213,553,172,553
16,3017,259,3276,4262,0.9209152993551768,0.7078797964433404,6948,2178,4770,1747,431,3276
17,302,0,302,663,1,0.45683755805920734,393,382,11,302,80,302
18,81,0,81,247,1,0.3281722126601645,99,99,0,81,18,81
19,4189,423,4612,5848,0.9086343950171759,0.7163356036951827,6161,1702,4459,1374,328,4612
20,2915,255,3170,3778,0.9197124411324326,0.7714003587993441,3368,1154,2214,956,198,3170
21,43,0,43,227,1,0.18751195257219352,71,71,0,43,28,43
100,1662,67,1729,3135,0.9619220741479034,0.5301858045443133,3738,1746,1992,1359,387,1729
NA,17692,1178,18870,28547,0.9375728669846317,0.6197498861526606,NA,NA,NA,NA,NA,NA
