id;text_type
786;article
787;article
788;article
789;article
790;article
791;article
792;article
793;article
794;article
795;article
796;article
797;article
798;article
799;caption
800;caption
801;article
802;article
803;article
804;article
805;article
806;article
807;caption
808;article
809;article
810;article
811;article
812;article
813;article
814;article
815;article
816;article
817;article
818;article
819;article
820;article
821;article
822;article
823;article
824;article
825;article
826;article
827;article
828;article
829;article
830;article
831;article
832;article
833;article
834;article
835;article
836;article
837;article
838;article
839;article
840;article
841;article
842;article
843;article
844;article
845;article
846;article
847;article
848;article
849;article
850;article
851;article
852;caption
853;article
854;article
855;article
856;caption
857;article
858;article
859;article
860;article
861;article
862;caption
863;article
864;article
865;article
866;article
867;article
868;article
869;article
870;article
871;article
872;article
873;article
874;article
875;article
876;article
877;article
878;caption
879;article
880;article
881;article
882;article
883;article
884;article
885;article
886;article
887;article
888;article
889;article
890;article
891;article
892;article
893;article
894;article
895;article
896;caption
897;article
898;article
899;article
900;article
901;article
902;caption
903;article
904;article
905;article
906;article
907;article
908;article
909;article
910;article
911;article
912;article
913;article
914;article
915;article
916;article
917;article
918;article
919;article
920;article
921;article
922;article
923;caption
924;article
925;article
926;article
927;article
928;article
929;article
930;article
931;article
932;article
933;caption
934;article
935;article
936;article
937;article
938;article
939;article
940;article
941;article
942;article
943;article
944;article
945;article
946;article
947;article
948;article
949;article
950;article
951;article
952;article
953;article
954;caption
955;article
956;article
957;article
958;article
959;article
960;article
961;article
962;article
963;caption
964;article
965;article
966;article
967;article
968;article
969;article
970;caption
971;article
972;article
973;article
974;article
975;article
976;article
977;article
978;article
979;caption
980;article
981;article
982;article
983;article
984;article
985;article
986;article
987;caption
988;caption
989;article
990;article
991;article
992;article
993;article
994;article
995;article
996;caption
997;article
998;article
999;article
1000;article
1001;article
1002;article
1003;article
1004;caption
1005;article
1006;article
1007;article
1008;article
1009;article
1010;article
1011;article
1012;article
1013;caption
1014;caption
1015;article
1016;article
1017;article
1018;article
1019;article
1020;article
1021;article
1022;article
1023;caption
1024;article
1025;article
1026;article
1027;article
1028;article
1029;article
1030;article
1031;article
1032;article
1033;article
1034;article
1035;article
1036;article
1037;article
1038;article
1039;article
1040;article
1041;article
1042;article
1043;article
1044;article
1045;article
1046;article
1047;article
1048;caption
1049;article
1050;article
1051;article
1052;article
1053;article
1054;article
1055;article
1056;article
1057;caption
1058;caption
1059;article
1060;article
1061;article
1062;article
1063;article
1064;article
1065;article
1066;article
1067;article
1068;article
1069;article
1070;article
1071;article
1072;article
1073;article
1074;caption
1075;article
1076;article
1077;article
1078;article
1079;article
1080;article
1081;article
1082;article
1083;article
1084;article
1085;article
1086;article
1087;article
1088;article
1089;article
1090;article
1091;article
1092;article
1093;article
1094;article
1095;article
1096;article
1097;caption
1098;article
1099;article
1100;article
1101;article
1102;article
1103;article
1104;article
1105;caption
1106;caption
1107;article
1108;article
1109;article
1110;article
1111;article
1112;article
1113;article
1114;caption
1115;article
1116;article
1117;article
1118;article
1119;article
1120;article
1121;article
1122;article
1123;article
1124;article
1125;article
1126;article
1127;article
1128;article
1129;article
1130;article
1131;caption
1132;article
1133;article
1134;article
1135;article
1136;article
1137;article
1138;article
1139;article
1140;article
1141;article
1142;article
1143;article
1144;article
1145;caption
1146;caption
1147;article
1148;article
1149;article
1150;article
1151;article
1152;article
1153;article
1154;caption
1155;article
1156;caption
1157;article
1158;article
1159;article
1160;article
1161;article
1162;article
1163;article
1164;caption
1165;article
1166;article
1167;article
1168;article
1169;article
1170;article
1171;caption
1172;article
1173;article
1174;article
1175;article
1176;caption
1177;article
1178;article
1179;article
1180;article
1181;article
1182;article
1183;article
1184;article
1185;article
1186;article
1187;article
1188;article
1189;caption
1190;article
1191;article
1192;caption
1193;article
1194;article
1195;article
1196;article
1197;article
1198;article
1199;article
1200;article
1201;article
1202;article
1203;article
1204;article
1205;article
1206;article
1207;article
1208;article
1209;article
1210;article
1211;article
1212;article
1213;article
1214;article
1215;article
1216;article
1217;article
1218;article
1219;article
1220;article
1221;article
1222;article
1223;article
1224;article
1225;article
1226;article
1227;article
1228;article
1229;article
1230;article
1231;article
1232;article
1233;article
1234;article
1235;article
1236;article
1237;article
1238;article
1239;article
1240;article
1241;article
1242;article
1243;article
1244;article
1245;article
1246;article
1247;caption
1248;article
1249;article
1250;article
1251;article
1252;article
1253;article
1254;article
1255;caption
1256;article
1257;article
1258;article
1259;article
1260;article
1261;article
1262;article
1263;article
1264;caption
1265;article
1266;article
1267;article
1268;article
1269;article
1270;article
1271;article
1272;article
1273;article
1274;article
1275;article
1276;article
1277;article
1278;article
1279;article
1280;article
1281;article
1282;article
1283;article
1284;article
1285;article
1286;article
1287;article
1288;article
1289;article
1290;article
1291;article
1292;article
1293;article
1294;article
1295;caption
1296;caption
1297;article
1298;article
1299;article
1300;article
1301;article
1302;article
1303;article
1304;article
1305;article
1306;article
1307;article
1308;caption
1309;article
1310;caption
1311;article
1312;article
1313;article
1314;article
1315;article
1316;article
1317;article
1318;article
1319;article
1320;article
1321;article
1322;article
1323;caption
1324;caption
1325;article
1326;article
1327;article
1328;article
1329;article
1330;article
1331;article
1332;article
1333;article
1334;article
1335;article
1336;article
1337;article
1338;article
1339;article
1340;article
1341;article
1342;article
1343;article
1344;article
1345;article
1346;article
1347;article
1348;article
1349;article
1350;article
1351;article
1352;article
1353;article
1354;article
1355;article
1356;article
1357;article
1358;caption
1359;article
1360;article
1361;article
1362;article
1363;article
1364;article
1365;article
1366;article
1367;article
1368;caption
1369;article
1370;article
1371;article
1372;article
1373;article
1374;article
1375;article
1376;article
1377;article
1378;article
1379;article
1380;article
1381;article
1382;article
1383;article
1384;article
1385;caption
1386;article
1387;article
1388;article
1389;article
1390;article
1391;article
1392;article
1393;article
1394;article
1395;article
1396;article
1397;article
1398;caption
1399;article
1400;article
1401;article
1402;article
1403;article
1404;article
1405;article
1406;caption
1407;article
1408;article
1409;article
1410;article
1411;caption
1412;article
1413;article
1414;article
1415;caption
1416;article
1417;caption
1418;article
1419;article
1420;article
1421;article
1422;article
1423;caption
1424;article
1425;article
1426;article
1427;article
1428;article
1429;article
1430;article
1431;caption
1432;article
1433;article
